"drug","target"
"DB00408","BE0000405"
"DB00408","BE0000442"
"DB00408","BE0000451"
"DB00408","BE0000476"
"DB00408","BE0000572"
"DB00408","BE0000581"
"DB00408","BE0000650"
"DB00408","BE0000659"
"DB00408","BE0000797"
"DB00408","BE0000945"
"DB00408","BE0000112"
"DB00408","BE0000146"
"DB00408","BE0004688"
"DB00412","BE0000215"
"DB00412","BE0000996"
"DB00414","BE0000644"
"DB00418","BE0000826"
"DB00418","BE0000829"
"DB00418","BE0000849"
"DB00418","BE0002341"
"DB00418","BE0000381"
"DB00418","BE0000471"
"DB00418","BE0000478"
"DB00418","BE0000523"
"DB00418","BE0000764"
"DB00418","BE0000795"
"DB00418","BE0004956"
"DB00420","BE0000045"
"DB00420","BE0000092"
"DB00420","BE0000501"
"DB00420","BE0000533"
"DB00420","BE0000560"
"DB00420","BE0000575"
"DB00420","BE0000715"
"DB00420","BE0000756"
"DB00420","BE0000020"
"DB00420","BE0000247"
"DB00420","BE0000389"
"DB00420","BE0000405"
"DB00420","BE0000442"
"DB00420","BE0000451"
"DB00421","BE0000794"
"DB00421","BE0000557"
"DB00421","BE0003542"
"DB00421","BE0000132"
"DB00421","BE0000668"
"DB00421","BE0000685"
"DB00421","BE0004887"
"DB00421","BE0004902"
"DB00424","BE0000045"
"DB00424","BE0000092"
"DB00424","BE0000560"
"DB00424","BE0000405"
"DB00427","BE0000442"
"DB00428","BE0001045"
"DB00428","BE0004258"
"DB00433","BE0000756"
"DB00434","BE0000045"
"DB00434","BE0000092"
"DB00434","BE0000533"
"DB00434","BE0000560"
"DB00434","BE0000442"
"DB00434","BE0000451"
"DB00436","BE0000267"
"DB00436","BE0000322"
"DB00436","BE0000535"
"DB00436","BE0000553"
"DB00436","BE0000419"
"DB00441","BE0000325"
"DB00441","BE0000324"
"DB00441","BE0000637"
"DB00443","BE0000794"
"DB00444","BE0000742"
"DB00445","BE0000742"
"DB00445","BE0000531"
"DB00450","BE0000501"
"DB00450","BE0000756"
"DB00452","BE0000279"
"DB00452","BE0000919"
"DB00454","BE0000365"
"DB00454","BE0000396"
"DB00454","BE0000417"
"DB00454","BE0000454"
"DB00454","BE0000760"
"DB00454","BE0000486"
"DB00454","BE0000632"
"DB00454","BE0000647"
"DB00454","BE0000749"
"DB00454","BE0000770"
"DB00454","BE0004890"
"DB00455","BE0000442"
"DB00457","BE0000090"
"DB00457","BE0000501"
"DB00457","BE0000575"
"DB00457","BE0000715"
"DB00457","BE0000289"
"DB00457","BE0000572"
"DB00457","BE0000462"
"DB00457","BE0000699"
"DB00458","BE0000045"
"DB00458","BE0000090"
"DB00458","BE0000092"
"DB00458","BE0000486"
"DB00458","BE0000501"
"DB00458","BE0000533"
"DB00458","BE0000560"
"DB00458","BE0000575"
"DB00458","BE0000647"
"DB00458","BE0000715"
"DB00458","BE0000749"
"DB00458","BE0000756"
"DB00458","BE0000247"
"DB00458","BE0000291"
"DB00458","BE0000405"
"DB00458","BE0000442"
"DB00458","BE0000451"
"DB00458","BE0000650"
"DB00458","BE0000945"
"DB00458","BE0004889"
"DB00458","BE0003603"
"DB00458","BE0003604"
"DB00458","BE0003930"
"DB00461","BE0000017"
"DB00461","BE0000262"
"DB00465","BE0000017"
"DB00465","BE0000262"
"DB00468","BE0000415"
"DB00468","BE0000866"
"DB00472","BE0000749"
"DB00474","BE0000795"
"DB00476","BE0000486"
"DB00476","BE0000647"
"DB00476","BE0000749"
"DB00477","BE0000045"
"DB00477","BE0000090"
"DB00477","BE0000092"
"DB00477","BE0000501"
"DB00477","BE0000533"
"DB00477","BE0000575"
"DB00477","BE0000756"
"DB00477","BE0000020"
"DB00477","BE0000145"
"DB00477","BE0000291"
"DB00477","BE0000389"
"DB00477","BE0000442"
"DB00477","BE0000451"
"DB00477","BE0000581"
"DB00477","BE0000650"
"DB00477","BE0000945"
"DB00477","BE0004864"
"DB00477","BE0000146"
"DB00477","BE0000973"
"DB00477","BE0000418"
"DB00477","BE0004879"
"DB00479","BE0000279"
"DB00480","BE0000262"
"DB00480","BE0003403"
"DB00480","BE0003517"
"DB00480","BE0004755"
"DB00482","BE0000262"
"DB00482","BE0001193"
"DB00489","BE0000090"
"DB00489","BE0000172"
"DB00489","BE0000694"
"DB00491","BE0000837"
"DB00491","BE0000876"
"DB00491","BE0004698"
"DB00491","BE0004699"
"DB00492","BE0000221"
"DB00495","BE0004853"
"DB00495","BE0002449"
"DB00496","BE0000045"
"DB00496","BE0000092"
"DB00496","BE0000560"
"DB00496","BE0000247"
"DB00496","BE0000405"
"DB00497","BE0000420"
"DB00497","BE0000632"
"DB00497","BE0000770"
"DB00497","BE0004879"
"DB00498","BE0000713"
"DB00499","BE0000132"
"DB00499","BE0003721"
"DB00500","BE0000017"
"DB00500","BE0000262"
"DB00502","BE0000417"
"DB00502","BE0000756"
"DB00502","BE0000020"
"DB00502","BE0000451"
"DB00502","BE0000581"
"DB00503","BE0004854"
"DB00514","BE0000641"
"DB00514","BE0000420"
"DB00514","BE0000486"
"DB00514","BE0000632"
"DB00514","BE0000738"
"DB00514","BE0000749"
"DB00514","BE0000770"
"DB00514","BE0000849"
"DB00514","BE0000850"
"DB00514","BE0002341"
"DB00514","BE0003584"
"DB00514","BE0003585"
"DB00514","BE0000156"
"DB00514","BE0000290"
"DB00514","BE0004896"
"DB00514","BE0004904"
"DB00519","BE0000221"
"DB00524","BE0000419"
"DB00540","BE0000045"
"DB00540","BE0000092"
"DB00540","BE0000486"
"DB00540","BE0000501"
"DB00540","BE0000533"
"DB00540","BE0000560"
"DB00540","BE0000575"
"DB00540","BE0000715"
"DB00540","BE0000749"
"DB00540","BE0000756"
"DB00540","BE0004872"
"DB00540","BE0000247"
"DB00540","BE0000291"
"DB00540","BE0000405"
"DB00540","BE0000442"
"DB00540","BE0000451"
"DB00540","BE0000945"
"DB00540","BE0004864"
"DB00540","BE0004882"
"DB00540","BE0004897"
