"smiles","drug","drugs"
"NC1=CC(CN2C(O)N(CC3=CC(N)=CC=C3)[C@@H](CC3=CC=CC=C3)[C@H](O)[C@@H](O)[C@@H]2CC2=CC=CC=C2)=CC=C1","DB02102","DB02102"
"NS(=O)(=O)C1=CC=C(F)C=C1","DB01784","DB01784"
"CCCCCCCCCCOC=O","DB07650","DB07650"
"C[C@]1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1","DB07778","DB07778"
"NS(=O)(=O)C1=CC=C(C=C1)N1N=C(C=C1C1=CC=C(Br)C=C1)C(F)(F)F","DB03477","DB03477"
"CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1","DB00647","DB00647"
"CC1=CC(C=CC#N)=CC(C)=C1NC1=CC=NC(NC2=CC=C(C=C2)C#N)=N1","DB08864","DB08592|DB08864"
"NC(CCC(=O)NC(CSCO)C(=O)NCC(O)=O)C(O)=O","DB05446","DB05446"
"[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O","DB00318","DB00318"
"[H][C@@]12CC[C@H](OC(=O)CC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C","DB01420","DB01420"
"[H][C@]1(CC2=CC=C(O)C(OC)=C2)COC(=O)[C@]1([H])CC1=CC=C(O)C(OC)=C1","DB04200","DB04200"
"COC1=CC(=CC=C1O)C1=CC2=C(C=C1)C(=CC1=CC=CN1)C(=O)N2","DB07078","DB07078"
"OC1=CC2=C(C=C1)C(=NO2)C1=C(O)C=C(O)C=C1","DB06937","DB06937"
"[H][C@](CO)(NC1=NC2=C(N=CN2C(C)C)C(NC2=CC(Cl)=CC(N)=C2)=N1)C(C)C","DB07379","DB07379"
"CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1","DB00268","DB00268"
"[H][C@@](CC1=C2C=CC=CC2=CC=C1)(NC(C)=O)[B-](O)(O)O","DB08565","DB08565"
"NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12","DB00564","DB00564"
"[H][C@]1(C(O)=O)[C@]([H])(C(=O)NC)[C@]1([H])C1=CC=C(OP(O)(O)=O)C=C1","DB08434","DB08434"
"OCC[C@@H](O)[C@H](O)[C@H](O)C=CP(O)(O)=O","DB01840","DB01840"
"N[C@@H](C[SeH])C(O)=O","DB02345","DB02345"
"CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=N1","DB01620","DB01620"
"[H][C@@](C)(CC)NC1=NC=C(S1)C(=O)NC1=C(C)C=CC(=C1)C(=O)NC","DB06991","DB06991"
"[H][C@](CC1=CC=CC=C1)(NC(=O)OCC)C(=O)N1CCC[C@@]1([H])C(=O)NNCCCCN","DB07400","DB07400"
"CS(=O)(=O)NC1=CC=CC2=C1N=CC=C2","DB08451","DB08451"
"CC(=O)N[C@@H](CC1=CC(I)=C(O)C(I)=C1)C(=O)NCC(O)=O","DB02598","DB02598"
"[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1","DB01595","DB01595"
"[H][C@](S)(CCS)CCCCC(O)=O","DB03760","DB03760"
"CS(=O)(=O)C1=CC(Cl)=C(C=C1Cl)C1=C(Cl)C=C(C(Cl)=C1)S(C)(=O)=O","DB08373","DB08373"
"OC=O","DB01942","DB01942"
"FC1=CC2=C(NC(=C2)C(=O)NCCS)C=C1","DB03384","DB03384"
"CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C","DB00296","DB00296"
"CCCCN1C(CC2=CC=CC(OC)=C2)=NC2=C(N)N=CN=C12","DB03809","DB03809"
"CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O","DB06716","DB06716"
"[H][C@]1(O)CCC(C)(C)[C@]2([H])[C@]([H])(O)[C@]([H])(OC(C)=O)[C@@]3(C)O[C@](C)(CC(=O)[C@]3(O)[C@@]12C)C=C","DB02587","DB02587"
"CC(C)(C)OC(=O)NC1=C(N=CC=C1)C(=O)NC1=NC=CS1","DB07902","DB07902"
"CN[C@H]1[C@H](O)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@@H]([C@@H](C)O)[C@H](O)[C@@H](O)[C@@H]3N)[C@H]2O)OC[C@]1(C)O","DB04263","DB04263"
"OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(C=CC2=NC3=C(C=CC(Cl)=C3)C=C2)=C1","DB00471","DB00471"
"CC(=N)NCC1=CC=CC(CN)=C1","DB02044","DB02044"
"CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F","DB01128","DB01128"
"COC1=CC=CC(=C1)N1C(CN2CCOCC2)=CC2=C(SC(=C2)S(N)(=O)=O)S1(=O)=O","DB03598","DB03598"
"FC1=C2C(=O)NC(=O)N(CCCCN3CCC(=CC3)C3=CC=CC=C3)C2=CC=C1","DB07787","DB07787"
"[H][C@@](CC(C)C)(CC(=O)NO)C(=O)N[C@@]1([H])CC2=CN(CCCCCCNC1=O)C1=C2C=CC=C1","DB08489","DB08489"
"O[C@@H]1[C@@H](O)[C@@H](CC2=CC=CC=C2)N(CC2=CC=CC(=C2)C(=O)Nc2nc3ccccc3n2)C(=O)N(CC2=CC=CC(=C2)C(=O)Nc2nc3ccccc3n2)[C@H]1CC1=CC=CC=C1","DB02729","DB02729"
"OC(C1CC1)=C(C#N)C(=O)NC1=CC=C(C=C1)C1=CC=CC=C1","DB08169","DB08169"
"[H][C@@](CN)(CC1=C(Cl)C=C(Cl)C=C1)NC(=O)C1=CC=C(S1)C1=CC=NC(NC)=N1","DB07235","DB07235"
"[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])COC(O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1","DB00444","DB00444"
"[H][C@]1(C)C=C(C)[C@]2([H])[C@]([H])(C)[C@@]1(CO)CO[C@]2([H])C1=CC=C(O)C=C1","DB07195","DB07195"
"COC1=CC=CC(=C1)C1=CC=C(NC(=O)C2=C(SC=C2)C(O)=O)C(F)=C1","DB07976","DB07976"
"CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O","DB00651","DB00651"
"O[C@H](C=C(/O)[O-])C([O-])=O","DB03343","DB03343"
"CNC(=O)C1=C(NC2=NC(NC3=CC=C(C=C3OC)N3CCOCC3)=NC=C2Cl)C=CC=C1","DB07460","DB07460"
